neighbourhood,neighbourhood_group,listing_id
Lower East Side,Manhattan,18039329
Financial District,Manhattan,18040417
Woodhaven,Queens,18040970
Astoria,Queens,18041519
Bushwick,Brooklyn,18041862
Crown Heights,Brooklyn,18042238
Bushwick,Brooklyn,18042742
Chinatown,Manhattan,18043457
Mott Haven,Bronx,18048473
Williamsburg,Brooklyn,18049856
Crown Heights,Brooklyn,18050070
Chelsea,Manhattan,18050153
Sunset Park,Brooklyn,18051607
Randall Manor,Staten Island,18051877
Bedford-Stuyvesant,Brooklyn,18054268
Harlem,Manhattan,18055685
Harlem,Manhattan,18057747
Crown Heights,Brooklyn,18059112
Upper West Side,Manhattan,18059231
Gowanus,Brooklyn,18059239
Harlem,Manhattan,18059656
Sunnyside,Queens,18061481
Sunnyside,Queens,18062797
Upper East Side,Manhattan,18063815
St. George,Staten Island,18066269
St. George,Staten Island,18066733
Bedford-Stuyvesant,Brooklyn,18068692
Prospect-Lefferts Gardens,Brooklyn,18068913
Richmond Hill,Queens,18069745
Williamsburg,Brooklyn,18070109
Kips Bay,Manhattan,18070342
Long Island City,Queens,18071246
Greenpoint,Brooklyn,18071374
Chelsea,Manhattan,18071399
Hell's Kitchen,Manhattan,18071406
Bushwick,Brooklyn,18073738
Hell's Kitchen,Manhattan,18074899
Washington Heights,Manhattan,18075511
Greenpoint,Brooklyn,18076273
Upper East Side,Manhattan,18076385
Bedford-Stuyvesant,Brooklyn,18076623
Roosevelt Island,Manhattan,18076816
Jamaica,Queens,18076911
Greenwich Village,Manhattan,18077001
Ozone Park,Queens,18077042
Upper West Side,Manhattan,18077050
Clinton Hill,Brooklyn,18077560
Upper West Side,Manhattan,18077717
Washington Heights,Manhattan,18077742
Bedford-Stuyvesant,Brooklyn,18077746
Edenwald,Bronx,18078720
Williamsburg,Brooklyn,18079072
Bay Ridge,Brooklyn,18080436
Midtown,Manhattan,18086316
Crown Heights,Brooklyn,18086664
Greenpoint,Brooklyn,18087564
Prospect-Lefferts Gardens,Brooklyn,18089676
Crown Heights,Brooklyn,18090200
Prospect-Lefferts Gardens,Brooklyn,18090441
Kips Bay,Manhattan,18090927
Washington Heights,Manhattan,18091187
Harlem,Manhattan,18091600
Washington Heights,Manhattan,18091991
Upper East Side,Manhattan,18092438
Upper East Side,Manhattan,18094196
Cobble Hill,Brooklyn,18094212
Murray Hill,Manhattan,18094311
SoHo,Manhattan,18094418
East Elmhurst,Queens,18095883
Williamsburg,Brooklyn,18102867
Upper East Side,Manhattan,18103710
Bedford-Stuyvesant,Brooklyn,18104150
Williamsburg,Brooklyn,18104553
Financial District,Manhattan,18105293
Bushwick,Brooklyn,18108134
Bedford-Stuyvesant,Brooklyn,18108590
Ditmars Steinway,Queens,18108648
Astoria,Queens,18108849
Bedford-Stuyvesant,Brooklyn,18108981
Hell's Kitchen,Manhattan,18109817
Bushwick,Brooklyn,18109852
Fort Greene,Brooklyn,18110008
Bushwick,Brooklyn,18110654
Williamsburg,Brooklyn,18112181
Harlem,Manhattan,18112517
Bedford-Stuyvesant,Brooklyn,18117334
East Village,Manhattan,18120094
Upper West Side,Manhattan,18120248
Flushing,Queens,18120592
Bedford-Stuyvesant,Brooklyn,18120946
Ridgewood,Queens,18121314
Upper East Side,Manhattan,18123155
Upper West Side,Manhattan,18123185
Flatbush,Brooklyn,18123540
Chelsea,Manhattan,18124043
East Harlem,Manhattan,18124558
Bedford-Stuyvesant,Brooklyn,18133502
Upper West Side,Manhattan,18134537
Williamsburg,Brooklyn,18134948
Carroll Gardens,Brooklyn,18136478
Clinton Hill,Brooklyn,18136685
Harlem,Manhattan,18138307
Harlem,Manhattan,18139095
Boerum Hill,Brooklyn,18139171
Prospect Heights,Brooklyn,18142309
Bedford-Stuyvesant,Brooklyn,18142333
Bedford-Stuyvesant,Brooklyn,18142927
Bushwick,Brooklyn,18148158
Upper East Side,Manhattan,18149668
Boerum Hill,Brooklyn,18151035
Bedford-Stuyvesant,Brooklyn,18151976
Bedford-Stuyvesant,Brooklyn,18152140
Flatbush,Brooklyn,18152217
Sunnyside,Queens,18152855
Hell's Kitchen,Manhattan,18154888
Hell's Kitchen,Manhattan,18155063
Williamsburg,Brooklyn,18155865
Williamsburg,Brooklyn,18156252
East Village,Manhattan,18156961
Bedford-Stuyvesant,Brooklyn,18158353
Hell's Kitchen,Manhattan,18159239
Ditmars Steinway,Queens,18159825
Upper West Side,Manhattan,18160364
Upper East Side,Manhattan,18161036
Park Slope,Brooklyn,18162965
Upper West Side,Manhattan,18169166
Morningside Heights,Manhattan,18170615
Bushwick,Brooklyn,18171814
Harlem,Manhattan,18173198
East Elmhurst,Queens,18173787
Chelsea,Manhattan,18173989
Bushwick,Brooklyn,18175051
Briarwood,Queens,18175061
Tribeca,Manhattan,18175675
Glendale,Queens,18175743
Long Island City,Queens,18176762
East Flatbush,Brooklyn,18176796
Lower East Side,Manhattan,18176798
Williamsburg,Brooklyn,18177024
Hell's Kitchen,Manhattan,18179365
Bedford-Stuyvesant,Brooklyn,18179735
Bedford-Stuyvesant,Brooklyn,18180304
Gramercy,Manhattan,18181620
Hell's Kitchen,Manhattan,18182282
Williamsburg,Brooklyn,18182318
Harlem,Manhattan,18188738
Crown Heights,Brooklyn,18188904
Williamsburg,Brooklyn,18188958
Park Slope,Brooklyn,18190480
Bushwick,Brooklyn,18190894
Flushing,Queens,18191456
Dongan Hills,Staten Island,18191892
Williamsburg,Brooklyn,18191934
Upper East Side,Manhattan,18191965
Washington Heights,Manhattan,18193397
Park Slope,Brooklyn,18194415
Upper West Side,Manhattan,18194429
Crown Heights,Brooklyn,18194450
Bedford-Stuyvesant,Brooklyn,18194482
Crown Heights,Brooklyn,18195445
Crown Heights,Brooklyn,18196880
Boerum Hill,Brooklyn,18196956
Jamaica,Queens,18197137
Washington Heights,Manhattan,18197946
Harlem,Manhattan,18198439
Prospect-Lefferts Gardens,Brooklyn,18198575
Long Island City,Queens,18201148
East Village,Manhattan,18201247
East Flatbush,Brooklyn,18203651
West Village,Manhattan,18205794
East Village,Manhattan,18206686
Longwood,Bronx,18207319
Upper East Side,Manhattan,18208285
Harlem,Manhattan,18208738
Harlem,Manhattan,18208811
Bushwick,Brooklyn,18209427
Upper West Side,Manhattan,18209795
Kips Bay,Manhattan,18210358
Boerum Hill,Brooklyn,18210425
Midtown,Manhattan,18210950
Flatbush,Brooklyn,18211259
Upper West Side,Manhattan,18213280
Prospect-Lefferts Gardens,Brooklyn,18213425
Little Italy,Manhattan,18214015
Flushing,Queens,18215065
Sunnyside,Queens,18216372
Jackson Heights,Queens,18221090
Williamsburg,Brooklyn,18221723
Upper West Side,Manhattan,18221864
Ditmars Steinway,Queens,18221952
Harlem,Manhattan,18222186
Bedford-Stuyvesant,Brooklyn,18222359
Upper East Side,Manhattan,18223667
SoHo,Manhattan,18225729
Williamsburg,Brooklyn,18225813
Flushing,Queens,18225912
Clinton Hill,Brooklyn,18226037
Williamsburg,Brooklyn,18226108
Murray Hill,Manhattan,18226843
Glendale,Queens,18227315
Harlem,Manhattan,18227529
East Harlem,Manhattan,18227645
Flushing,Queens,18228187
East Flatbush,Brooklyn,18229274
Mount Hope,Bronx,18229365
East Elmhurst,Queens,18235200
Bedford-Stuyvesant,Brooklyn,18236999
Bedford-Stuyvesant,Brooklyn,18239613
Midtown,Manhattan,18239623
Washington Heights,Manhattan,18239876
East Village,Manhattan,18239917
Baychester,Bronx,18240632
Crown Heights,Brooklyn,18240637
Stapleton,Staten Island,18240743
Coney Island,Brooklyn,18240963
Harlem,Manhattan,18241920
Washington Heights,Manhattan,18242004
East Village,Manhattan,18248683
Harlem,Manhattan,18249844
Clinton Hill,Brooklyn,18251681
Harlem,Manhattan,18252313
Morningside Heights,Manhattan,18252876
Greenpoint,Brooklyn,18253290
Crown Heights,Brooklyn,18253324
Inwood,Manhattan,18253938
Hell's Kitchen,Manhattan,18254225
Bedford-Stuyvesant,Brooklyn,18254259
East Village,Manhattan,18254314
Upper West Side,Manhattan,18254317
Kips Bay,Manhattan,18255124
Midwood,Brooklyn,18255225
East Flatbush,Brooklyn,18255869
Hell's Kitchen,Manhattan,18256895
Bedford-Stuyvesant,Brooklyn,18257701
Financial District,Manhattan,18263839
Richmond Hill,Queens,18264166
Harlem,Manhattan,18264659
Williamsburg,Brooklyn,18264726
Bushwick,Brooklyn,18265387
Chelsea,Manhattan,18266105
Bushwick,Brooklyn,18266775
Woodside,Queens,18268053
Bedford-Stuyvesant,Brooklyn,18268257
Midtown,Manhattan,18269285
Bushwick,Brooklyn,18270109
Greenpoint,Brooklyn,18270199
SoHo,Manhattan,18271282
Brooklyn Heights,Brooklyn,18271460
Bushwick,Brooklyn,18271718
Williamsburg,Brooklyn,18272185
Bushwick,Brooklyn,18272753
Financial District,Manhattan,18273151
Bedford-Stuyvesant,Brooklyn,18273542
Hell's Kitchen,Manhattan,18274232
Grant City,Staten Island,18274492
Bedford-Stuyvesant,Brooklyn,18275502
Washington Heights,Manhattan,18276042
Hell's Kitchen,Manhattan,18283136
Inwood,Manhattan,18283367
Hell's Kitchen,Manhattan,18283511
Harlem,Manhattan,18283646
East Village,Manhattan,18285079
Ridgewood,Queens,18286031
Clinton Hill,Brooklyn,18286212
East Village,Manhattan,18286232
Canarsie,Brooklyn,18286926
Upper East Side,Manhattan,18287688
Hell's Kitchen,Manhattan,18287772
Williamsburg,Brooklyn,18288169
Chelsea,Manhattan,18288371
Bedford-Stuyvesant,Brooklyn,18288391
Washington Heights,Manhattan,18288660
Cobble Hill,Brooklyn,18288774
Hell's Kitchen,Manhattan,18288828
Chelsea,Manhattan,18290402
Harlem,Manhattan,18290561
Morningside Heights,Manhattan,18290841
Marble Hill,Manhattan,18291430
East Village,Manhattan,18291740
Clinton Hill,Brooklyn,18291916
Flushing,Queens,18294238
East Flatbush,Brooklyn,18297633
Harlem,Manhattan,18303895
Midtown,Manhattan,18305649
Stapleton,Staten Island,18305741
Greenpoint,Brooklyn,18306436
SoHo,Manhattan,18306444
Bushwick,Brooklyn,18306713
Borough Park,Brooklyn,18307376
Bedford-Stuyvesant,Brooklyn,18308486
Morningside Heights,Manhattan,18309354
Clinton Hill,Brooklyn,18309683
Harlem,Manhattan,18309885
Harlem,Manhattan,18310427
Canarsie,Brooklyn,18311851
Upper East Side,Manhattan,18312034
Upper East Side,Manhattan,18312568
Hell's Kitchen,Manhattan,18312612
South Slope,Brooklyn,18313862
Bedford-Stuyvesant,Brooklyn,18313864
Murray Hill,Manhattan,18314102
Kips Bay,Manhattan,18314397
Upper West Side,Manhattan,18314459
Ridgewood,Queens,18314930
Carroll Gardens,Brooklyn,18324607
Long Island City,Queens,18325063
Williamsburg,Brooklyn,18326156
Williamsburg,Brooklyn,18326238
Park Slope,Brooklyn,18327453
Hell's Kitchen,Manhattan,18327630
Ridgewood,Queens,18329309
Chinatown,Manhattan,18329545
Greenpoint,Brooklyn,18329982
Williamsburg,Brooklyn,18330221
Bushwick,Brooklyn,18330346
Flushing,Queens,18331097
Kensington,Brooklyn,18331925
Lower East Side,Manhattan,18332922
East Harlem,Manhattan,18338709
West Village,Manhattan,18338719
Harlem,Manhattan,18340320
Flatbush,Brooklyn,18340498
East New York,Brooklyn,18340599
Harlem,Manhattan,18341576
Upper West Side,Manhattan,18342361
Bushwick,Brooklyn,18342727
Crown Heights,Brooklyn,18347330
Harlem,Manhattan,18347469
Bedford-Stuyvesant,Brooklyn,18348443
Hell's Kitchen,Manhattan,18348512
Fresh Meadows,Queens,18353019
East Village,Manhattan,18354443
Astoria,Queens,18354821
Williamsburg,Brooklyn,18355480
Morningside Heights,Manhattan,18356695
Bedford-Stuyvesant,Brooklyn,18357504
Upper West Side,Manhattan,18357865
Williamsburg,Brooklyn,18357947
Financial District,Manhattan,18358279
Nolita,Manhattan,18358343
Bedford-Stuyvesant,Brooklyn,18358363
Upper East Side,Manhattan,18358437
Greenpoint,Brooklyn,18358470
East Harlem,Manhattan,18358606
Hell's Kitchen,Manhattan,18358621
Bushwick,Brooklyn,18358644
Upper East Side,Manhattan,18359115
Arverne,Queens,18359426
Bedford-Stuyvesant,Brooklyn,18359593
Prospect-Lefferts Gardens,Brooklyn,18360149
Downtown Brooklyn,Brooklyn,18361045
Upper West Side,Manhattan,18361390
Lower East Side,Manhattan,18362628
Inwood,Manhattan,18366609
Howard Beach,Queens,18366942
Hell's Kitchen,Manhattan,18369169
East Harlem,Manhattan,18369887
Greenpoint,Brooklyn,18370699
Clinton Hill,Brooklyn,18370979
Bushwick,Brooklyn,18371333
Upper West Side,Manhattan,18372104
Fort Greene,Brooklyn,18373279
Bedford-Stuyvesant,Brooklyn,18373404
Bedford-Stuyvesant,Brooklyn,18374250
Bedford-Stuyvesant,Brooklyn,18374647
Bedford-Stuyvesant,Brooklyn,18375021
Bedford-Stuyvesant,Brooklyn,18375246
Prospect-Lefferts Gardens,Brooklyn,18375685
Tremont,Bronx,18375815
University Heights,Bronx,18377036
East Village,Manhattan,18381623
Gowanus,Brooklyn,18385188
Bedford-Stuyvesant,Brooklyn,18386105
Chelsea,Manhattan,18386307
Windsor Terrace,Brooklyn,18386494
Park Slope,Brooklyn,18386915
Bushwick,Brooklyn,18387366
Crown Heights,Brooklyn,18387744
Crown Heights,Brooklyn,18387798
Crown Heights,Brooklyn,18388152
Upper West Side,Manhattan,18388706
Lower East Side,Manhattan,18389694
Hell's Kitchen,Manhattan,18390143
Bedford-Stuyvesant,Brooklyn,18390316
Bedford-Stuyvesant,Brooklyn,18390907
Greenpoint,Brooklyn,18391905
Prospect-Lefferts Gardens,Brooklyn,18392140
Windsor Terrace,Brooklyn,18392309
Midtown,Manhattan,18393354
Upper West Side,Manhattan,18393650
Bedford-Stuyvesant,Brooklyn,18393805
East Flatbush,Brooklyn,18394653
Carroll Gardens,Brooklyn,18396197
Harlem,Manhattan,18396281
Flushing,Queens,18397006
Washington Heights,Manhattan,18397124
East Village,Manhattan,18399865
Parkchester,Bronx,18402330
Parkchester,Bronx,18402568
Sunset Park,Brooklyn,18404373
Astoria,Queens,18404432
Harlem,Manhattan,18404936
Crown Heights,Brooklyn,18406606
Forest Hills,Queens,18407251
Williamsburg,Brooklyn,18407764
Prospect Heights,Brooklyn,18408236
Greenwich Village,Manhattan,18409148
Flatbush,Brooklyn,18410069
Washington Heights,Manhattan,18410445
Harlem,Manhattan,18411056
Flushing,Queens,18411446
Upper West Side,Manhattan,18411925
Washington Heights,Manhattan,18412771
Stapleton,Staten Island,18414310
Harlem,Manhattan,18415505
Chinatown,Manhattan,18415952
Midtown,Manhattan,18423707
Upper West Side,Manhattan,18423938
East Harlem,Manhattan,18424903
South Slope,Brooklyn,18424928
SoHo,Manhattan,18425106
Gramercy,Manhattan,18425988
East Flatbush,Brooklyn,18427825
Upper East Side,Manhattan,18429093
Long Island City,Queens,18429435
Harlem,Manhattan,18430588
Hell's Kitchen,Manhattan,18430686
East Harlem,Manhattan,18431566
Williamsburg,Brooklyn,18432636
Bushwick,Brooklyn,18432894
Ditmars Steinway,Queens,18433038
Bedford-Stuyvesant,Brooklyn,18433781
Sunnyside,Queens,18434309
East New York,Brooklyn,18439203
Washington Heights,Manhattan,18440017
Allerton,Bronx,18442048
Gravesend,Brooklyn,18442196
Bushwick,Brooklyn,18442569
West Village,Manhattan,18443902
Little Italy,Manhattan,18444575
Financial District,Manhattan,18445522
Bushwick,Brooklyn,18447712
Harlem,Manhattan,18448376
Hell's Kitchen,Manhattan,18448446
Mount Hope,Bronx,18448516
Upper East Side,Manhattan,18448556
Inwood,Manhattan,18449942
Crown Heights,Brooklyn,18449954
Clinton Hill,Brooklyn,18450009
Flatbush,Brooklyn,18450143
Washington Heights,Manhattan,18450490
Williamsburg,Brooklyn,18455236
Bushwick,Brooklyn,18455830
East Village,Manhattan,18456751
Midtown,Manhattan,18456975
Inwood,Manhattan,18457273
Gramercy,Manhattan,18458323
Vinegar Hill,Brooklyn,18459547
East Village,Manhattan,18459948
Roosevelt Island,Manhattan,18460119
Bushwick,Brooklyn,18460679
Bushwick,Brooklyn,18460756
Hell's Kitchen,Manhattan,18461296
Ditmars Steinway,Queens,18461891
Harlem,Manhattan,18462291
Flatbush,Brooklyn,18462681
Flushing,Queens,18462718
Bedford-Stuyvesant,Brooklyn,18463609
Crown Heights,Brooklyn,18470545
Crown Heights,Brooklyn,18471232
Bedford-Stuyvesant,Brooklyn,18471276
Williamsburg,Brooklyn,18471556
Morningside Heights,Manhattan,18471815
Bedford-Stuyvesant,Brooklyn,18472494
Sunnyside,Queens,18472524
Borough Park,Brooklyn,18473439
East Village,Manhattan,18475187
Harlem,Manhattan,18476474
Bensonhurst,Brooklyn,18476851
Clinton Hill,Brooklyn,18477009
Clinton Hill,Brooklyn,18477226
Lower East Side,Manhattan,18477519
Chelsea,Manhattan,18481196
Morningside Heights,Manhattan,18484597
East Harlem,Manhattan,18485393
Washington Heights,Manhattan,18485487
Jackson Heights,Queens,18485922
Bushwick,Brooklyn,18486698
Crown Heights,Brooklyn,18486868
Bushwick,Brooklyn,18487817
Bushwick,Brooklyn,18488077
Harlem,Manhattan,18488335
Flatbush,Brooklyn,18488833
Prospect Heights,Brooklyn,18489366
Greenpoint,Brooklyn,18489843
Jamaica,Queens,18490141
East Village,Manhattan,18491689
Williamsburg,Brooklyn,18493375
Flushing,Queens,18496255
Williamsburg,Brooklyn,18496331
Clinton Hill,Brooklyn,18496902
Williamsburg,Brooklyn,18498466
Park Slope,Brooklyn,18499050
Bedford-Stuyvesant,Brooklyn,18499074
Sheepshead Bay,Brooklyn,18500556
Ridgewood,Queens,18500972
East Flatbush,Brooklyn,18502246
Harlem,Manhattan,18503701
Williamsburg,Brooklyn,18503779
Bedford-Stuyvesant,Brooklyn,18503789
Financial District,Manhattan,18504151
Jamaica,Queens,18504631
Upper West Side,Manhattan,18505453
Crown Heights,Brooklyn,18505594
Upper West Side,Manhattan,18506292
Williamsburg,Brooklyn,18506359
Harlem,Manhattan,18506841
Upper West Side,Manhattan,18507671
Woodside,Queens,18507990
Schuylerville,Bronx,18508209
Parkchester,Bronx,18508470
Williamsburg,Brooklyn,18508959
Upper East Side,Manhattan,18510340
Bushwick,Brooklyn,18515889
Upper West Side,Manhattan,18516072
West Village,Manhattan,18516103
Greenpoint,Brooklyn,18517584
Morningside Heights,Manhattan,18518678
Flatbush,Brooklyn,18519818
Williamsburg,Brooklyn,18520516
Park Slope,Brooklyn,18521860
Bushwick,Brooklyn,18522181
Bushwick,Brooklyn,18522547
Bedford-Stuyvesant,Brooklyn,18523182
Flatbush,Brooklyn,18523629
Williamsburg,Brooklyn,18523918
Upper East Side,Manhattan,18525915
Sunnyside,Queens,18526162
Bedford-Stuyvesant,Brooklyn,18527060
Ridgewood,Queens,18527437
Bayside,Queens,18535402
Highbridge,Bronx,18540170
Bedford-Stuyvesant,Brooklyn,18540856
West Village,Manhattan,18541736
Crown Heights,Brooklyn,18542490
East Village,Manhattan,18543045
Bedford-Stuyvesant,Brooklyn,18543400
Hell's Kitchen,Manhattan,18544441
Sheepshead Bay,Brooklyn,18546552
Hunts Point,Bronx,18546787
Greenwich Village,Manhattan,18547076
East Village,Manhattan,18547663
Greenwich Village,Manhattan,18548112
Williamsburg,Brooklyn,18548561
Upper West Side,Manhattan,18549136
Ditmars Steinway,Queens,18549222
Williamsburg,Brooklyn,18550111
Murray Hill,Manhattan,18550366
Pelham Gardens,Bronx,18550867
Lower East Side,Manhattan,18550947
Williamsburg,Brooklyn,18551084
Bedford-Stuyvesant,Brooklyn,18551196
Midtown,Manhattan,18559902
Crown Heights,Brooklyn,18560104
Harlem,Manhattan,18560569
Prospect-Lefferts Gardens,Brooklyn,18560625
Harlem,Manhattan,18561200
Clinton Hill,Brooklyn,18561365
Upper West Side,Manhattan,18561618
SoHo,Manhattan,18561753
Prospect Heights,Brooklyn,18562269
Hell's Kitchen,Manhattan,18563383
Parkchester,Bronx,18564694
Williamsburg,Brooklyn,18565097
Prospect-Lefferts Gardens,Brooklyn,18565588
Bedford-Stuyvesant,Brooklyn,18565752
Inwood,Manhattan,18566324
Astoria,Queens,18566623
Hell's Kitchen,Manhattan,18566802
Bedford-Stuyvesant,Brooklyn,18568023
Bedford-Stuyvesant,Brooklyn,18568171
Williamsburg,Brooklyn,18568551
Williamsburg,Brooklyn,18569142
Upper East Side,Manhattan,18569279
Crown Heights,Brooklyn,18569422
Clinton Hill,Brooklyn,18570075
Williamsburg,Brooklyn,18570121
Bedford-Stuyvesant,Brooklyn,18571803
Upper West Side,Manhattan,18572271
Midtown,Manhattan,18573121
Bushwick,Brooklyn,18577672
Bedford-Stuyvesant,Brooklyn,18577989
Chelsea,Manhattan,18579416
Forest Hills,Queens,18579690
Park Slope,Brooklyn,18582592
Bedford-Stuyvesant,Brooklyn,18582792
Fort Greene,Brooklyn,18583072
Washington Heights,Manhattan,18583467
Bushwick,Brooklyn,18583921
Harlem,Manhattan,18584089
Chelsea,Manhattan,18584180
Midtown,Manhattan,18584411
Highbridge,Bronx,18584742
East Flatbush,Brooklyn,18585458
East Harlem,Manhattan,18585546
Bushwick,Brooklyn,18585784
Williamsburg,Brooklyn,18586018
Williamsburg,Brooklyn,18586787
Hell's Kitchen,Manhattan,18586873
Williamsburg,Brooklyn,18587083
Crown Heights,Brooklyn,18591642
Lower East Side,Manhattan,18592160
Prospect-Lefferts Gardens,Brooklyn,18593138
Rockaway Beach,Queens,18595831
Canarsie,Brooklyn,18596194
Hell's Kitchen,Manhattan,18596197
Inwood,Manhattan,18596546
East Village,Manhattan,18596772
Bushwick,Brooklyn,18597408
Greenpoint,Brooklyn,18597754
Columbia St,Brooklyn,18597908
Hell's Kitchen,Manhattan,18599156
Williamsburg,Brooklyn,18599224
Upper East Side,Manhattan,18599296
Hell's Kitchen,Manhattan,18599352
East Flatbush,Brooklyn,18600659
Kensington,Brooklyn,18601353
Harlem,Manhattan,18602201
Williamsburg,Brooklyn,18605919
Stapleton,Staten Island,18606237
Harlem,Manhattan,18609316
Flatbush,Brooklyn,18609555
Downtown Brooklyn,Brooklyn,18610314
Cobble Hill,Brooklyn,18610539
Park Slope,Brooklyn,18610543
Kips Bay,Manhattan,18610544
East Harlem,Manhattan,18610554
Harlem,Manhattan,18611347
Gowanus,Brooklyn,18611605
Bushwick,Brooklyn,18611872
Morningside Heights,Manhattan,18612291
Williamsburg,Brooklyn,18612722
Bedford-Stuyvesant,Brooklyn,18612788
Brownsville,Brooklyn,18612976
East Harlem,Manhattan,18613550
Flushing,Queens,18613981
East Village,Manhattan,18614596
Schuylerville,Bronx,18615054
Crown Heights,Brooklyn,18615497
Theater District,Manhattan,18615898
Williamsburg,Brooklyn,18615903
Bedford-Stuyvesant,Brooklyn,18615964
Upper West Side,Manhattan,18616208
West Village,Manhattan,18616217
East Harlem,Manhattan,18616234
Williamsburg,Brooklyn,18616809
Bushwick,Brooklyn,18617060
Williamsburg,Brooklyn,18617195
Lower East Side,Manhattan,18617676
Jamaica,Queens,18619857
Fort Greene,Brooklyn,18624243
East New York,Brooklyn,18625919
Upper West Side,Manhattan,18626606
Upper East Side,Manhattan,18628912
Kensington,Brooklyn,18629326
Bushwick,Brooklyn,18629621
East Village,Manhattan,18630660
Washington Heights,Manhattan,18632197
Carroll Gardens,Brooklyn,18632502
Brooklyn Heights,Brooklyn,18632582
Bedford-Stuyvesant,Brooklyn,18634847
North Riverdale,Bronx,18635370
Upper East Side,Manhattan,18635942
Morningside Heights,Manhattan,18636030
Sunnyside,Queens,18636622
Crown Heights,Brooklyn,18637270
East Flatbush,Brooklyn,18637912
Williamsburg,Brooklyn,18638015
Astoria,Queens,18638573
Williamsburg,Brooklyn,18638985
Crown Heights,Brooklyn,18645286
Harlem,Manhattan,18646075
Upper East Side,Manhattan,18646653
Bedford-Stuyvesant,Brooklyn,18647180
Morningside Heights,Manhattan,18647217
East Village,Manhattan,18647731
Harlem,Manhattan,18648243
Prospect Heights,Brooklyn,18648360
Crown Heights,Brooklyn,18648591
Astoria,Queens,18649105
Williamsburg,Brooklyn,18649351
Astoria,Queens,18649806
Gramercy,Manhattan,18649822
Harlem,Manhattan,18650087
Williamsburg,Brooklyn,18650569
Williamsburg,Brooklyn,18652220
Murray Hill,Manhattan,18652544
Downtown Brooklyn,Brooklyn,18655599
Upper West Side,Manhattan,18655815
Bushwick,Brooklyn,18655886
Gowanus,Brooklyn,18655992
Financial District,Manhattan,18656413
Midwood,Brooklyn,18656661
East Village,Manhattan,18657209
Windsor Terrace,Brooklyn,18662619
Harlem,Manhattan,18662664
Bedford-Stuyvesant,Brooklyn,18662841
Gowanus,Brooklyn,18664875
Crown Heights,Brooklyn,18666583
Jamaica,Queens,18666975
Bedford-Stuyvesant,Brooklyn,18667184
Bushwick,Brooklyn,18667956
Harlem,Manhattan,18668037
Bushwick,Brooklyn,18668571
Bedford-Stuyvesant,Brooklyn,18668594
Bushwick,Brooklyn,18669019
Stapleton,Staten Island,18669496
Long Island City,Queens,18669801
Bedford-Stuyvesant,Brooklyn,18670480
East Elmhurst,Queens,18671835
Washington Heights,Manhattan,18672921
Hell's Kitchen,Manhattan,18673613
East Village,Manhattan,18674105
Upper West Side,Manhattan,18675061
Kips Bay,Manhattan,18675083
Midtown,Manhattan,18675215
Bushwick,Brooklyn,18675599
Hell's Kitchen,Manhattan,18676837
Morningside Heights,Manhattan,18680331
Financial District,Manhattan,18682735
Bedford-Stuyvesant,Brooklyn,18682763
Prospect-Lefferts Gardens,Brooklyn,18683699
Murray Hill,Manhattan,18683879
Baychester,Bronx,18685854
Williamsburg,Brooklyn,18686269
East Village,Manhattan,18686390
Upper West Side,Manhattan,18686501
East Flatbush,Brooklyn,18686508
Bensonhurst,Brooklyn,18686817
Harlem,Manhattan,18688150
Bushwick,Brooklyn,18689454
Bedford-Stuyvesant,Brooklyn,18689588
Tremont,Bronx,18690466
Harlem,Manhattan,18690651
Little Italy,Manhattan,18690921
Williamsburg,Brooklyn,18691084
Williamsburg,Brooklyn,18691204
Washington Heights,Manhattan,18691948
Downtown Brooklyn,Brooklyn,18692028
Bedford-Stuyvesant,Brooklyn,18692321
Lower East Side,Manhattan,18695104
Williamsburg,Brooklyn,18699576
Crown Heights,Brooklyn,18700004
Crown Heights,Brooklyn,18701095
Williamsbridge,Bronx,18702075
Williamsburg,Brooklyn,18704012
Brooklyn Heights,Brooklyn,18704413
East Village,Manhattan,18704805
Hell's Kitchen,Manhattan,18705087
Bedford-Stuyvesant,Brooklyn,18706173
Canarsie,Brooklyn,18706845
Hell's Kitchen,Manhattan,18706893
Fort Greene,Brooklyn,18707214
SoHo,Manhattan,18707698
Crown Heights,Brooklyn,18715285
Fort Greene,Brooklyn,18716289
Williamsburg,Brooklyn,18716439
Gowanus,Brooklyn,18716602
Lower East Side,Manhattan,18716795
Bedford-Stuyvesant,Brooklyn,18718070
Roosevelt Island,Manhattan,18718195
Rego Park,Queens,18719129
Harlem,Manhattan,18719477
Park Slope,Brooklyn,18719526
Midtown,Manhattan,18719602
Glendale,Queens,18719762
Sunset Park,Brooklyn,18721027
Bushwick,Brooklyn,18721061
Wakefield,Bronx,18721209
Crown Heights,Brooklyn,18721341
Woodside,Queens,18721845
Astoria,Queens,18722146
Crown Heights,Brooklyn,18722657
Financial District,Manhattan,18723095
Bushwick,Brooklyn,18728915
Williamsburg,Brooklyn,18728971
Williamsburg,Brooklyn,18729143
Williamsburg,Brooklyn,18729447
Upper East Side,Manhattan,18729461
Sunset Park,Brooklyn,18729985
Upper West Side,Manhattan,18731029
Harlem,Manhattan,18731641
Williamsburg,Brooklyn,18732648
Williamsburg,Brooklyn,18734125
Williamsburg,Brooklyn,18734225
Washington Heights,Manhattan,18734320
Norwood,Bronx,18734427
